"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","OP_CARRIER_AIRLINE_ID","OP_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","FIRST_DEP_TIME","TOTAL_ADD_GTIME","LONGEST_ADD_GTIME"
2025,1,1,1,3,"1/1/2025 12:00:00 AM","AA",19805,"AA","N184US",1868,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11298,1129806,30194,"DFW","Dallas/Fort Worth, TX","TX",48,"Texas",74,1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2129,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,NA,NA,1,1067,5,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","AA",19805,"AA","N813AW",2310,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11057,1105703,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1132,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,1,366,2,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","AA",19805,"AA","N976UY",2664,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11298,1129806,30194,"DFW","Dallas/Fort Worth, TX","TX",48,"Texas",74,1554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1805,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,NA,NA,1,1067,5,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","AS",19930,"AS","N224AK",101,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,14747,1474703,30559,"SEA","Seattle, WA","WA",53,"Washington",93,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1138,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,NA,NA,1,2125,9,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","B6",20409,"B6","N323JB",2186,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2102,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,1,496,2,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","DL",19790,"DL","N717JL",1409,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,10397,1039707,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,1759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,1,526,3,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","G4",20368,"G4","243NV",1135,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,14027,1402702,34027,"PBI","West Palm Beach/Palm Beach, FL","FL",12,"Florida",33,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1243,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,NA,NA,1,952,4,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","G4",20368,"G4","277NV",1123,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,14112,1411206,33195,"PIE","St. Petersburg, FL","FL",12,"Florida",33,1548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1821,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,NA,1,878,4,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","G4",20368,"G4","277NV",1127,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,14986,1498603,34986,"SRQ","Sarasota/Bradenton, FL","FL",12,"Florida",33,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1139,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,NA,NA,1,912,4,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","NK",20416,"NK","N709NK",638,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11697,1169706,32467,"FLL","Fort Lauderdale, FL","FL",12,"Florida",33,2038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2327,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,NA,NA,1,994,4,NA,NA,NA,NA,NA,NA,NA,NA
